Created Date,Descriptor,Incident Zip,Status
03/15/2016 11:19:00 PM,Lead Kit Request (Residential) (L10),11385,Open
03/15/2016 10:43:00 PM,Lead Kit Request (Residential) (L10),11207,Open
03/15/2016 10:21:00 PM,Lead Kit Request (Residential) (L10),11418,Open
03/15/2016 07:36:00 PM,Lead Kit Request (Residential) (L10),11203,Open
03/15/2016 06:37:00 PM,Lead Kit Request (Residential) (L10),10029,Open
03/15/2016 06:27:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/15/2016 06:22:00 PM,Lead Kit Request (Residential) (L10),10003,Open
03/15/2016 06:10:00 PM,Lead Kit Request (Residential) (L10),10022,Open
03/15/2016 06:08:00 PM,Lead Kit Request (Residential) (L10),10027,Open
03/15/2016 05:57:00 PM,Lead Kit Request (Residential) (L10),10029,Open
03/15/2016 05:49:00 PM,Lead Kit Request (Residential) (L10),11207,Open
03/15/2016 05:28:00 PM,Lead Kit Request (Residential) (L10),11358,Open
03/15/2016 05:11:00 PM,Lead Kit Request (Residential) (L10),11385,Open
03/15/2016 05:05:00 PM,Lead Kit Request (Residential) (L10),10022,Open
03/15/2016 04:03:00 PM,Lead Kit Request (Residential) (L10),11234,Open
03/15/2016 03:49:00 PM,Lead Kit Request (Residential) (L10),11104,Open
03/15/2016 03:26:00 PM,Lead Kit Request (Residential) (L10),11226,Open
03/15/2016 03:10:00 PM,Lead Kit Request (Residential) (L10),10044,Open
03/15/2016 02:37:00 PM,Lead Kit Request (Residential) (L10),11215,Open
03/15/2016 02:22:00 PM,Lead Kit Request (Residential) (L10),11238,Open
03/15/2016 02:19:00 PM,Lead Kit Request (Residential) (L10),11205,Open
03/15/2016 01:55:00 PM,Lead Kit Request (Residential) (L10),10463,Open
03/15/2016 01:30:00 PM,Lead Kit Request (Residential) (L10),11428,Open
03/15/2016 12:59:00 PM,Lead Kit Request (Residential) (L10),11415,Open
03/15/2016 12:49:00 PM,Lead Kit Request (Residential) (L10),10025,Open
03/15/2016 12:24:00 PM,Lead Kit Request (Residential) (L10),11242,Open
03/15/2016 12:23:00 PM,Lead Kit Request (Residential) (L10),11415,Open
03/15/2016 12:20:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/15/2016 11:50:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/15/2016 11:49:00 AM,Lead Kit Request (Residential) (L10),11238,Open
03/15/2016 11:21:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/15/2016 10:33:00 AM,Lead Kit Request (Residential) (L10),11216,Open
03/15/2016 09:52:00 AM,Lead Kit Request (Residential) (L10),11232,Open
03/15/2016 09:46:00 AM,Lead Kit Request (Residential) (L10),10025,Open
03/15/2016 09:46:00 AM,Lead Kit Request (Residential) (L10),10465,Open
03/15/2016 09:29:00 AM,Lead Kit Request (Residential) (L10),11201,Open
03/15/2016 08:46:00 AM,Lead Kit Request (Residential) (L10),11215,Open
03/15/2016 07:42:00 AM,Lead Kit Request (Residential) (L10),11221,Open
03/14/2016 11:36:00 PM,Lead Kit Request (Residential) (L10),11233,Open
03/14/2016 10:55:00 PM,Lead Kit Request (Residential) (L10),11233,Open
03/14/2016 10:48:00 PM,Lead Kit Request (Residential) (L10),10024,Open
03/14/2016 10:47:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/14/2016 09:54:00 PM,Lead Kit Request (Residential) (L10),10467,Open
03/14/2016 09:48:00 PM,Lead Kit Request (Residential) (L10),10028,Open
03/14/2016 09:44:00 PM,Lead Kit Request (Residential) (L10),10024,Open
03/14/2016 09:40:00 PM,Lead Kit Request (Residential) (L10),11207,Open
03/14/2016 09:20:00 PM,Lead Kit Request (Residential) (L10),10021,Open
03/14/2016 09:13:00 PM,Lead Kit Request (Residential) (L10),10463,Open
03/14/2016 09:05:00 PM,Lead Kit Request (Residential) (L10),10461,Open
03/14/2016 08:49:00 PM,Lead Kit Request (Residential) (L10),11230,Open
03/14/2016 08:48:00 PM,Lead Kit Request (Residential) (L10),11373,Open
03/14/2016 08:40:00 PM,Lead Kit Request (Residential) (L10),10040,Open
03/14/2016 08:37:00 PM,Lead Kit Request (Residential) (L10),10038,Open
03/14/2016 08:21:00 PM,Lead Kit Request (Residential) (L10),10463,Open
03/14/2016 08:09:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/14/2016 06:44:00 PM,Lead Kit Request (Residential) (L10),10466,Open
03/14/2016 05:54:00 PM,Lead Kit Request (Residential) (L10),10023,Open
03/14/2016 05:51:00 PM,Lead Kit Request (Residential) (L10),11209,Open
03/14/2016 05:24:00 PM,Lead Kit Request (Residential) (L10),10465,Open
03/14/2016 05:20:00 PM,Lead Kit Request (Residential) (L10),11209,Open
03/14/2016 05:08:00 PM,Lead Kit Request (Residential) (L10),11226,Open
03/14/2016 04:43:00 PM,Lead Kit Request (Residential) (L10),10009,Open
03/14/2016 04:41:00 PM,Lead Kit Request (Residential) (L10),10012,Open
03/14/2016 04:35:00 PM,Lead Kit Request (Residential) (L10),11208,Open
03/14/2016 04:12:00 PM,Lead Kit Request (Residential) (L10),10003,Open
03/14/2016 04:08:00 PM,Lead Kit Request (Residential) (L10),11249,Open
03/14/2016 04:04:00 PM,Lead Kit Request (Residential) (L10),10458,Open
03/14/2016 03:52:00 PM,Lead Kit Request (Residential) (L10),10034,Open
03/14/2016 03:47:00 PM,Lead Kit Request (Residential) (L10),11201,Open
03/14/2016 03:37:00 PM,Lead Kit Request (Residential) (L10),11375,Open
03/14/2016 03:31:00 PM,Lead Kit Request (Residential) (L10),10451,Open
03/14/2016 03:26:00 PM,Lead Kit Request (Residential) (L10),11225,Open
03/14/2016 02:54:00 PM,Lead Kit Request (Residential) (L10),10003,Open
